Date,Nifty Returns,Nifty Auto,NIFTY ENERGY,Nifty FMCG,Nifty IT,Nifty Media,Nifty Metal,Nifty PSU Bank,Nifty Realty,NIFTY BANK,NIFTY MEDIA,NIFTY CONSUMPTION,NIFTY MNC,NIFTY PSE,NIFTY COMMODITIES,NIFTY SERV SECTOR
2022-09-01,0.05417058866254495,-0.015018869,0.5857504,-0.2786692,-0.04068379,0.09263046,0.09145112,-0.02877258,-0.29321346,0.095506296,0.08125644,0.01828378,0.40232894,0.14517783,-0.018186282,-0.49650827
2022-09-02,-0.6348111227664129,-0.014130751,0.53091323,-0.27733243,-0.036868017,0.09804389,0.103810094,-0.017762583,-0.2895419,0.18253216,0.09166256,-0.01898177,0.38919073,0.16297933,-0.07820515,-0.51063883
2022-09-05,0.09045194776863055,-0.017146429,0.4875465,-0.27033705,-0.031670313,0.104677685,0.093555555,-0.0031235905,-0.28862622,0.19937202,0.09148529,-0.0453078,0.36800167,0.14841485,-0.18916717,-0.50162715
2022-09-06,0.20233053458644948,-0.035204463,0.42890677,-0.24662927,-0.02542343,0.110615,0.093243636,0.011964894,-0.2857006,0.18453135,0.08964926,-0.08693023,0.32807207,0.15989678,-0.29147738,-0.45238766
2022-09-07,-0.8828122018591485,-0.037754536,0.39366612,-0.24422617,-0.021323059,0.117300875,0.09532855,0.038191933,-0.29212007,0.092189915,0.08840782,-0.11519893,0.28078562,0.171235,-0.29890665,-0.48358485
2022-09-08,-0.1457899106414454,-0.004948085,0.3391923,-0.24333058,-0.0197565,0.122425795,0.12689917,0.058195338,-0.2591219,-0.013315007,0.093226396,-0.17370787,0.16857056,0.19844802,-0.16845009,-0.48733333
2022-09-09,-0.5025395866611267,0.031348497,0.28217983,-0.2595551,-0.019931562,0.12872921,0.12113002,0.066152416,-0.23227431,-0.09489886,0.09832889,-0.22973007,-0.02120955,0.210624,-0.015785031,-0.51265866
2022-09-12,-0.6579593574828629,0.07687753,0.2310431,-0.2803304,-0.020921808,0.13262199,0.12395494,0.075429834,-0.21139395,-0.09600461,0.10516038,-0.2858932,-0.03596875,0.2118496,0.08286176,-0.4551563
2022-09-13,0.3817560223318935,0.11426293,0.17361075,-0.29291946,-0.020506486,0.13536933,0.15517108,0.07372228,-0.18837023,-0.033878352,0.110986486,-0.3121169,-0.08530495,0.2286055,0.11251234,-0.40124762
2022-09-14,0.6993425956336116,0.12198772,0.118114665,-0.30681294,-0.02245567,0.13401398,0.17966667,0.06584304,-0.19530135,0.036993805,0.117611185,-0.29223818,-0.1113915,0.22738044,0.08649509,-0.4537561
2022-09-15,1.890942174717679,0.096622825,0.07563315,-0.30895072,-0.024815109,0.13115054,0.19388568,0.078896984,-0.20332018,0.11044022,0.12136905,-0.26779306,-0.11601223,0.21533819,0.031757053,-0.51333594
2022-09-16,-0.45038506154814945,0.06449002,0.03128277,-0.31836265,-0.026960954,0.12519228,0.23982681,0.09458425,-0.21233758,0.1547815,0.12196958,-0.23883015,-0.11073432,0.207997,-0.019634083,-0.5245313
2022-09-19,-0.9853914190133921,0.059297822,-0.008352911,-0.32730243,-0.026683308,0.11984952,0.27093732,0.12769514,-0.20926347,0.12198196,0.11821975,-0.21368743,-0.08478191,0.2247011,-0.039547455,-0.48527607
2022-09-20,0.5546492623443358,0.08177134,-0.021238027,-0.32399106,-0.02786177,0.1144054,0.2743272,0.16100003,-0.24625076,0.019743478,0.108965315,-0.18518265,-0.091695495,0.19780889,-0.045480724,-0.4957029
2022-09-21,0.5074854745982527,0.09147057,-0.017284527,-0.32251906,-0.026419431,0.108623855,0.2737399,0.16199099,-0.284431,-0.045507226,0.095368944,-0.1355094,-0.12465409,0.16620362,-0.07723266,-0.5582965
